Symbol;Name;Sector;Price;Price/Earnings;Dividend Yield;Earnings/Share;52 Week Low;52 Week High;Market Cap;EBITDA;Price/Sales;Sales;Price/Book;SEC Filings
CNP;CenterPoint Energy;Utilities;25,85;19,73;42.109.256;1;30,45;25,51;11362043297.00;2337000000.00;16.262.617;420.388.649;3,21;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CNP
CTL;CenturyLink Inc;Telecommunication Services;16,2;8,35;12.661.196;1,16;27,61;13.161;18237196861.00;5577000000.00;14.795.984;239.694.941;1,39;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTL
CERN;Cerner;Health Care;61,22;27,09;0;1,84;73,86;512.617;21101697598.00;1523440000.00;55.560.412;3.401.408.423;4,62;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CERN
CF;CF Industries Holdings Inc;Materials;37,46;-59,46;30.395.136;-1,2;43,98;25,04;9209106695.00;711000000.00;30.044.448;1.125.465.022;2,81;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CF
SCHW;Charles Schwab Corporation;Financials;48,9;29,82;0,76878726;1,61;56,25;37,16;69750188843.00;0.00;7.949.615;388.736.174;4,51;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SCHW
CHTR;Charter Communications;Consumer Discretionary;348,65;162,92;0;34,08;408,83;308,3;86708878113.00;14694000000.00;21.208.634;7.394.390.244;2,27;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHTR
CHK;Chesapeake Energy;Energy;2,82;4,7;0;-6,44;6,59;2,8;2626102121.00;1470000000.00;0,40765184;1;1,84;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHK
CVX;Chevron Corp.;Energy;112,3;27,52;3.885.853;4,85;133,88;102,55;218978820159.00;28877000000.00;16.489.863;1.851.811.615;1,71;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CVX
CMG;Chipotle Mexican Grill;Consumer Discretionary;266,01;45,86;0;0,8;499;263;7685283970.00;401293000.00;25.523.853;6.789.600.137;6,11;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMG
CB;Chubb Limited;Financials;140,39;17,5;19.251.627;8,2;157,5;130,17;68424670566.00;0.00;20.985.637;2.946.173.578;1,35;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CB
CHD;Church & Dwight;Consumer Staples;47,38;24,42;18.366.054;2,92;541.799;43,21;11838963451.00;868000000.00;31.682.448;1.501.114.386;6,28;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHD
CI;CIGNA Corp.;Health Care;189,27;18,11;0,020466639;7,2;227,13;141,93;47680910480.00;0.00;1.550.762;293.512.724;3,39;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CI
XEC;Cimarex Energy;Energy;100,19;26,37;0,30214334;-4,64;136,31;89,49;10089082025.00;1061056000.00;7.556.446;757.080.325;4,28;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XEC
CINF;Cincinnati Financial;Financials;70,34;27,48;2.918.904;3,55;81,98;68,24;11916533018.00;0.00;2.756.679;193.904.801;1,6;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CINF
CTAS;Cintas Corporation;Industrials;149,32;32,75;10.344.827;4,38;169,96;113,79;16676145923.00;1097295000.00;27.614.057;4.123.330.991;6,53;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTAS
CSCO;Cisco Systems;Information Technology;38,77;17,87;28.755.577;1,91;42,98;30,36;199425716482.00;15447000000.00;5.484.418;212.630.886;3,07;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CSCO
C;Citigroup Inc.;Financials;71,87;13,48;17.068.943;-3,1;80,7;56,14;192709302000.00;0.00;21.857.586;1.570.904.706;0,9;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=C
CFG;Citizens Financial Group;Financials;42,19;16,04;19.625.335;3,27;48,23;31,51;22008050974.00;0.00;33.917.346;1.430.972.828;1,08;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CFG
CTXS;Citrix Systems;Information Technology;84,53;20,37;0;-0,24;95;733.346;13199167493.00;810268000.00;47.538.714;4.018.447.494;6,73;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTXS
CME;CME Group Inc.;Financials;153,04;32,15;36.828.613;11,94;163;1.148.176;54423298745.00;2851800000.00;14.881.806;2.277.511.590;2,51;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CME
CMS;CMS Energy;Utilities;41,77;21,42;33.918.407;1,99;50,85;41,07;11873960824.00;2099000000.00;24.711.676;1.032.206.707;2,65;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMS
